slot,prc_mw,rtolcap_mw,rtoffcap_mw,rtordpa
2025-01-19 00:00:00,16011.18,35419.37,7587.66,0.0
2025-01-19 00:05:00,16053.12,36024.48,7299.16,0.0
2025-01-19 00:10:00,16252.61,36451.35,7299.08,0.0
2025-01-19 00:15:00,16161.17,36473.39,7299.05,0.0
2025-01-19 00:20:00,16034.42,35861.0,7298.99,0.0
2025-01-19 00:25:00,16056.4,35947.65,7298.85,0.0
2025-01-19 00:30:00,15840.67,36030.89,7298.95,0.0
2025-01-19 00:35:00,16076.1,36026.04,7300.09,0.0
2025-01-19 00:40:00,16100.21,35773.3,7299.07,0.0
2025-01-19 00:45:00,16129.99,35733.55,7299.04,0.0
2025-01-19 00:50:00,16108.94,35578.24,7299.81,0.0
2025-01-19 00:55:00,16123.96,35681.93,7301.06,0.0
2025-01-19 01:00:00,16212.81,35949.05,7306.07,0.0
2025-01-19 01:05:00,16226.54,35502.13,7306.05,0.0
2025-01-19 01:10:00,16185.41,35537.76,7306.08,0.0
2025-01-19 01:15:00,16095.87,35187.66,7306.02,0.0
2025-01-19 01:20:00,16140.32,35067.88,7306.08,0.0
2025-01-19 01:25:00,16151.92,35068.82,7306.0,0.0
2025-01-19 01:30:00,16108.81,34977.09,7306.07,0.0
2025-01-19 01:35:00,16125.14,34870.05,7306.11,0.0
2025-01-19 01:40:00,16013.58,34568.42,7306.09,0.0
2025-01-19 01:45:00,16034.6,34403.59,7306.1,0.0
2025-01-19 01:50:00,15938.98,34200.07,7305.99,0.0
2025-01-19 01:55:00,15890.95,34241.26,7305.97,0.0
2025-01-19 02:00:00,15906.82,34421.39,7307.36,0.0
2025-01-19 02:05:00,15849.58,34326.9,7307.36,0.0
2025-01-19 02:10:00,15925.02,34276.63,7307.27,0.0
2025-01-19 02:15:00,15891.5,34132.13,7307.33,0.0
2025-01-19 02:20:00,15819.07,34157.17,7307.38,0.0
2025-01-19 02:25:00,15864.89,34060.5,7307.29,0.0
2025-01-19 02:30:00,15877.97,34064.86,7307.39,0.0
2025-01-19 02:35:00,15884.1,33722.95,7307.46,0.0
2025-01-19 02:40:00,15648.0,33941.8,7307.48,0.0
2025-01-19 02:45:00,15673.49,33735.77,7307.46,0.0
2025-01-19 02:50:00,15477.1,33606.8,7307.33,0.0
2025-01-19 02:55:00,15356.59,33375.24,7308.36,0.0
2025-01-19 03:00:00,15281.29,33192.49,7313.28,0.0
2025-01-19 03:05:00,15354.67,32891.83,7313.71,0.0
2025-01-19 03:10:00,15347.03,32667.11,7313.7,0.0
2025-01-19 03:15:00,15349.07,32630.89,7313.67,0.0
2025-01-19 03:20:00,15391.72,32757.31,7313.75,0.0
2025-01-19 03:25:00,15343.01,32537.37,7313.62,0.0
2025-01-19 03:30:00,15466.02,32237.31,7313.7,0.0
2025-01-19 03:35:00,15367.14,31816.31,7313.82,0.0
2025-01-19 03:40:00,15025.97,31482.96,7278.82,0.0
2025-01-19 03:45:00,15212.51,31120.24,7313.81,0.0
2025-01-19 03:50:00,15081.51,31191.06,7313.7,0.0
2025-01-19 03:55:00,14981.52,30812.47,7313.71,0.0
2025-01-19 04:00:00,14948.03,30166.76,7282.13,0.0
2025-01-19 04:05:00,14954.01,30099.47,7373.61,0.0
2025-01-19 04:10:00,14753.29,29765.13,7373.53,0.0
2025-01-19 04:15:00,14640.05,29534.62,7373.44,0.0
2025-01-19 04:20:00,14773.77,29947.96,7373.52,0.0
2025-01-19 04:25:00,14842.29,29293.54,7373.42,0.0
2025-01-19 04:30:00,14733.19,29055.28,7373.39,0.0
2025-01-19 04:35:00,14645.17,28656.45,7373.56,0.0
2025-01-19 04:40:00,14647.04,28422.52,7373.56,0.0
2025-01-19 04:45:00,14457.64,28103.59,7373.49,0.0
2025-01-19 04:50:00,14280.91,27725.05,7373.33,0.0
2025-01-19 04:55:00,14381.01,27533.95,7373.44,0.0
2025-01-19 05:00:00,14336.95,27727.75,7375.54,0.0
2025-01-19 05:05:00,14280.3,27027.12,7379.84,0.0
2025-01-19 05:10:00,14214.51,26624.54,7379.93,0.0
2025-01-19 05:15:00,14169.96,26671.43,7379.98,0.0
2025-01-19 05:20:00,14094.97,26872.23,7380.1,0.0
2025-01-19 05:25:00,14069.38,26754.02,7379.88,0.0
2025-01-19 05:30:00,14160.43,26796.02,7379.9,0.0
2025-01-19 05:35:00,13969.63,26185.7,7380.12,0.0
2025-01-19 05:40:00,13730.97,26357.69,7380.09,0.0
2025-01-19 05:45:00,13752.48,26254.19,7379.97,0.0
2025-01-19 05:50:00,13519.14,25831.91,7377.86,0.0
2025-01-19 05:55:00,13354.28,25604.56,7330.83,0.0
2025-01-19 06:00:00,13400.47,25456.8,7197.96,0.0
2025-01-19 06:05:00,13410.85,25393.12,7098.33,0.0
2025-01-19 06:10:00,13381.23,25039.02,6988.23,0.0
2025-01-19 06:15:00,13186.82,25149.41,6988.08,0.0
2025-01-19 06:20:00,13093.68,24754.88,6988.3,0.0
2025-01-19 06:25:00,12834.03,24226.21,7006.78,0.0
2025-01-19 06:30:00,12618.43,23560.38,7006.97,0.0
2025-01-19 06:35:00,12684.23,23191.18,7007.09,0.0
2025-01-19 06:40:00,12445.12,22579.66,7007.08,0.0
2025-01-19 06:45:00,12203.91,21710.93,7007.11,0.0
2025-01-19 06:50:00,11996.48,21662.53,7006.93,0.0
2025-01-19 06:55:00,11685.89,21383.22,7006.92,0.0
2025-01-19 07:00:00,11549.89,20792.43,7005.55,0.0
2025-01-19 07:05:00,11566.53,21315.67,7008.88,0.0
2025-01-19 07:10:00,11374.98,20763.0,7008.91,0.0
2025-01-19 07:15:00,11188.78,20350.65,7009.02,0.0
2025-01-19 07:20:00,10468.58,19655.49,7009.08,0.0
2025-01-19 07:25:00,10282.35,19609.9,7008.95,0.0
2025-01-19 07:30:00,10071.0,19255.41,7009.08,0.0
2025-01-19 07:35:00,9985.08,18845.27,6959.14,0.0
2025-01-19 07:40:00,9857.5,18581.34,6959.01,0.0
2025-01-19 07:45:00,9890.79,18739.33,6959.06,0.0
2025-01-19 07:50:00,10080.85,19436.49,6909.12,0.0
2025-01-19 07:55:00,10240.83,19776.72,6909.35,0.0
2025-01-19 08:00:00,10591.24,20573.06,6909.18,0.0
2025-01-19 08:05:00,11354.49,21443.4,6873.13,0.0
2025-01-19 08:10:00,11370.05,21889.43,6873.08,0.0
2025-01-19 08:15:00,11582.18,22699.64,6873.15,0.0
2025-01-19 08:20:00,12110.31,23305.0,6873.27,0.0
2025-01-19 08:25:00,12365.46,23997.45,6873.11,0.0
2025-01-19 08:30:00,13171.82,25318.36,6873.28,0.0
2025-01-19 08:35:00,13301.36,26500.17,6914.87,0.0
2025-01-19 08:40:00,13771.04,27090.36,6914.86,0.0
2025-01-19 08:45:00,13811.36,28154.76,6914.9,0.0
2025-01-19 08:50:00,14493.26,29368.53,6914.89,0.0
2025-01-19 08:55:00,14806.67,30735.21,6914.86,0.0
2025-01-19 09:00:00,15055.38,30894.96,6908.66,0.0
2025-01-19 09:05:00,15259.03,31466.35,7020.27,0.0
2025-01-19 09:10:00,15576.75,32834.02,7020.3,0.0
2025-01-19 09:15:00,15842.17,33734.38,7020.27,0.0
2025-01-19 09:20:00,15905.42,34566.61,7019.57,0.0
2025-01-19 09:25:00,16038.71,35254.15,7019.38,0.0
2025-01-19 09:30:00,16103.09,35773.73,7019.29,0.0
2025-01-19 09:35:00,16426.55,36318.08,7019.19,0.0
2025-01-19 09:40:00,16344.16,36466.19,7019.35,0.0
2025-01-19 09:45:00,16292.91,36359.74,7019.38,0.0
2025-01-19 09:50:00,16352.1,36341.07,7019.36,0.0
2025-01-19 09:55:00,16590.75,37052.02,7019.41,0.0
2025-01-19 10:00:00,16664.57,36757.98,6717.73,0.0
2025-01-19 10:05:00,16707.19,36497.83,7131.61,0.0
2025-01-19 10:10:00,16477.25,36265.73,7181.45,0.0
2025-01-19 10:15:00,16526.18,36268.58,7181.5,0.0
2025-01-19 10:20:00,16407.0,36227.66,7181.76,0.0
2025-01-19 10:25:00,16114.96,35628.96,7181.78,0.0
2025-01-19 10:30:00,16148.29,35606.7,7181.95,0.0
2025-01-19 10:35:00,16082.99,35702.18,7181.87,0.0
2025-01-19 10:40:00,16084.45,35683.13,7181.99,0.0
2025-01-19 10:45:00,16285.23,35682.26,7181.94,0.0
2025-01-19 10:50:00,16139.18,35894.92,7181.74,0.0
2025-01-19 10:55:00,16101.74,35437.14,7181.69,0.0
2025-01-19 11:00:00,16110.74,35384.88,7168.77,0.0
2025-01-19 11:05:00,16081.41,35420.8,7168.73,0.0
2025-01-19 11:10:00,16052.58,35334.01,7168.65,0.0
2025-01-19 11:15:00,16037.11,35599.76,7167.44,0.0
2025-01-19 11:20:00,16214.83,35523.55,7168.58,0.0
2025-01-19 11:25:00,16082.81,35678.96,7168.52,0.0
2025-01-19 11:30:00,16092.62,35168.81,7168.66,0.0
2025-01-19 11:35:00,15991.13,34792.79,7168.69,0.0
2025-01-19 11:40:00,16015.98,34726.67,7167.69,0.0
2025-01-19 11:45:00,15978.0,34548.34,7167.67,0.0
2025-01-19 11:50:00,15874.85,34016.04,7167.6,0.0
2025-01-19 11:55:00,15813.21,34207.91,7167.63,0.0
2025-01-19 12:00:00,15800.58,34190.52,7168.34,0.0
2025-01-19 12:05:00,15838.3,34766.33,7168.23,0.0
2025-01-19 12:10:00,15849.16,34758.5,7168.05,0.0
2025-01-19 12:15:00,15778.6,34420.99,7168.03,0.0
2025-01-19 12:20:00,15825.11,34716.07,7168.25,0.0
2025-01-19 12:25:00,15871.51,34807.38,7168.22,0.0
2025-01-19 12:30:00,15853.5,34655.97,7168.33,0.0
2025-01-19 12:35:00,15898.89,34837.8,7168.41,0.0
2025-01-19 12:40:00,16101.45,34851.06,7168.22,0.0
2025-01-19 12:45:00,16160.54,34828.7,7168.28,0.0
2025-01-19 12:50:00,16099.43,34812.1,7168.26,0.0
2025-01-19 12:55:00,16084.39,34781.23,7168.33,0.0
2025-01-19 13:00:00,16287.54,34985.05,7162.3,0.0
2025-01-19 13:05:00,16084.38,34932.21,7165.42,0.0
2025-01-19 13:10:00,16164.39,34867.12,7165.32,0.0
2025-01-19 13:15:00,16240.08,35192.68,7165.33,0.0
2025-01-19 13:20:00,16226.48,35231.98,7165.4,0.0
2025-01-19 13:25:00,16226.91,35271.46,7165.59,0.0
2025-01-19 13:30:00,16206.23,35307.88,7165.79,0.0
2025-01-19 13:35:00,16295.83,35304.95,7165.88,0.0
2025-01-19 13:40:00,16304.97,35303.89,7165.81,0.0
2025-01-19 13:45:00,16603.02,35917.77,7165.64,0.0
2025-01-19 13:50:00,16495.11,36202.09,7165.54,0.0
2025-01-19 13:55:00,16322.02,36044.14,7165.59,0.0
2025-01-19 14:00:00,16511.26,36051.87,7156.84,0.0
2025-01-19 14:05:00,16511.25,36381.57,7155.25,0.0
2025-01-19 14:10:00,16541.99,36518.79,7154.99,0.0
2025-01-19 14:15:00,16573.82,36521.32,7154.95,0.0
2025-01-19 14:20:00,16724.58,36689.06,7155.19,0.0
2025-01-19 14:25:00,16627.84,36482.2,7155.13,0.0
2025-01-19 14:30:00,16813.75,36543.49,7155.44,0.0
2025-01-19 14:35:00,16864.55,36752.61,7155.46,0.0
2025-01-19 14:40:00,16879.84,36844.47,7155.39,0.0
2025-01-19 14:45:00,16969.47,37211.75,7155.42,0.0
2025-01-19 14:50:00,16944.3,37179.09,7155.31,0.0
2025-01-19 14:55:00,17276.89,37673.08,7155.23,0.0
2025-01-19 15:00:00,17141.12,38047.75,7152.26,0.0
2025-01-19 15:05:00,16997.05,37552.13,7155.38,0.0
2025-01-19 15:10:00,17155.25,37595.42,7155.22,0.0
2025-01-19 15:15:00,17316.17,37822.92,7155.12,0.0
2025-01-19 15:20:00,17197.83,37793.44,7155.27,0.0
2025-01-19 15:25:00,17348.2,37802.44,7155.25,0.0
2025-01-19 15:30:00,17232.08,37648.54,7155.52,0.0
2025-01-19 15:35:00,17163.22,37313.88,7155.51,0.0
2025-01-19 15:40:00,17110.47,37252.36,7155.52,0.0
2025-01-19 15:45:00,17352.8,37736.36,7155.58,0.0
2025-01-19 15:50:00,17122.27,37146.79,7155.47,0.0
2025-01-19 15:55:00,17123.14,36865.19,7155.46,0.0
2025-01-19 16:00:00,17179.38,36362.63,7158.71,0.0
2025-01-19 16:05:00,17267.79,36439.7,7065.43,0.0
