slot,prc_mw,rtolcap_mw,rtoffcap_mw,rtordpa
2021-02-10 00:00:00,4198.41,7236.51,3497.15,0.0
2021-02-10 00:05:00,4087.15,6993.54,3730.54,0.0
2021-02-10 00:10:00,4050.77,6911.67,3730.46,0.0
2021-02-10 00:15:00,4135.76,6754.77,3690.42,0.0
2021-02-10 00:20:00,4112.84,6870.31,3785.52,0.0
2021-02-10 00:25:00,4055.78,6645.87,3777.74,0.0
2021-02-10 00:30:00,4455.23,6859.18,3675.39,0.0
2021-02-10 00:35:00,4579.79,6848.94,3743.47,0.0
2021-02-10 00:40:00,4575.2,7017.29,3810.42,0.0
2021-02-10 00:45:00,4756.9,7087.07,3856.44,0.0
2021-02-10 00:50:00,4630.95,6970.51,3962.37,0.0
2021-02-10 00:55:00,4620.64,6919.09,3912.39,0.0
2021-02-10 01:00:00,4783.14,7162.99,3794.4,0.0
2021-02-10 01:05:00,4848.1,7262.58,3799.3,0.0
2021-02-10 01:10:00,4833.26,7271.89,3813.11,0.0
2021-02-10 01:15:00,4903.61,7525.75,3767.12,0.0
2021-02-10 01:20:00,4902.13,7611.55,3767.11,0.0
2021-02-10 01:25:00,4756.58,7355.27,3767.11,0.0
2021-02-10 01:30:00,4637.83,7164.88,3859.13,0.0
2021-02-10 01:35:00,4697.49,7435.15,3859.14,0.0
2021-02-10 01:40:00,4689.76,7381.64,3859.21,0.0
2021-02-10 01:45:00,4751.77,7522.45,3859.22,0.0
2021-02-10 01:50:00,4684.71,7614.7,3859.15,0.0
2021-02-10 01:55:00,4786.01,7444.71,4044.22,0.0
2021-02-10 02:00:00,4789.73,7358.02,4248.13,0.0
2021-02-10 02:05:00,4772.08,7379.93,4323.7,0.0
2021-02-10 02:10:00,4783.29,7245.49,4392.97,0.0
2021-02-10 02:15:00,4558.08,7104.56,4406.96,0.0
2021-02-10 02:20:00,4501.57,7283.77,4307.98,0.0
2021-02-10 02:25:00,4394.53,7200.92,4184.73,0.0
2021-02-10 02:30:00,4415.71,7532.32,4062.29,0.0
2021-02-10 02:35:00,4487.49,7325.73,4144.89,0.0
2021-02-10 02:40:00,4447.41,7558.44,4062.33,0.0
2021-02-10 02:45:00,4412.65,7589.3,4062.33,0.0
2021-02-10 02:50:00,4338.8,7347.62,4158.4,0.0
2021-02-10 02:55:00,4353.62,7239.88,4236.75,0.0
2021-02-10 03:00:00,4181.62,7293.19,4166.06,0.0
2021-02-10 03:05:00,4106.47,6909.22,4159.53,0.0
2021-02-10 03:10:00,4037.99,6827.68,4159.56,0.0
2021-02-10 03:15:00,3925.57,6803.25,4288.9,0.0
2021-02-10 03:20:00,4053.3,6966.96,4205.7,0.0
2021-02-10 03:25:00,3915.54,6752.53,4205.62,0.0
2021-02-10 03:30:00,3903.01,6705.08,4205.53,0.0
2021-02-10 03:35:00,3977.81,6683.35,4205.52,0.0
2021-02-10 03:40:00,3893.47,6683.71,4205.54,0.0
2021-02-10 03:45:00,3927.93,6848.86,4205.55,0.0
2021-02-10 03:50:00,4163.61,7228.43,4205.57,0.0
2021-02-10 03:55:00,4931.33,8747.88,4104.65,0.0
2021-02-10 04:00:00,5092.45,8987.36,4105.66,0.0
2021-02-10 04:05:00,5143.14,8867.38,4105.76,0.0
2021-02-10 04:10:00,4888.66,8630.48,4147.29,0.0
2021-02-10 04:15:00,4677.49,8448.83,4230.27,0.0
2021-02-10 04:20:00,4396.8,8307.93,4147.4,0.0
2021-02-10 04:25:00,4296.16,8217.44,4147.43,0.0
