datetime,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW,post_datetime,hour_end,res_irr_outage_mw,all_outage_mw
2022-12-20 00:00:00,9794,4455,5885,2022-12-20 00:02:44,2022-12-20 01:00:00,14249,20134
2022-12-20 01:00:00,9892,4438,5885,2022-12-20 01:02:42,2022-12-20 02:00:00,14330,20215
2022-12-20 02:00:00,9907,4438,5885,2022-12-20 02:02:24,2022-12-20 03:00:00,14345,20230
2022-12-20 03:00:00,9072,4132,5885,2022-12-20 03:01:51,2022-12-20 04:00:00,13204,19089
2022-12-20 04:00:00,9072,4135,5885,2022-12-20 04:04:01,2022-12-20 05:00:00,13207,19092
2022-12-20 05:00:00,8889,4039,5885,2022-12-20 05:02:36,2022-12-20 06:00:00,12928,18813
2022-12-20 06:00:00,9447,3918,5885,2022-12-20 06:03:09,2022-12-20 07:00:00,13365,19250
2022-12-20 07:00:00,9460,3852,5885,2022-12-20 07:03:05,2022-12-20 08:00:00,13312,19197
2022-12-20 08:00:00,9332,4058,5885,2022-12-20 08:01:52,2022-12-20 09:00:00,13390,19275
2022-12-20 09:00:00,9992,4363,5713,2022-12-20 09:01:59,2022-12-20 10:00:00,14355,20068
2022-12-20 10:00:00,9348,4284,5713,2022-12-20 10:02:10,2022-12-20 11:00:00,13632,19345
2022-12-20 11:00:00,9293,4169,5713,2022-12-20 11:02:07,2022-12-20 12:00:00,13462,19175
2022-12-20 12:00:00,9653,4176,5635,2022-12-20 12:02:20,2022-12-20 13:00:00,13829,19464
2022-12-20 13:00:00,9685,4248,5635,2022-12-20 13:02:08,2022-12-20 14:00:00,13933,19568
2022-12-20 14:00:00,9940,4248,5635,2022-12-20 14:01:59,2022-12-20 15:00:00,14188,19823
2022-12-20 15:00:00,9786,4318,5635,2022-12-20 15:01:48,2022-12-20 16:00:00,14104,19739
2022-12-20 16:00:00,9746,4396,5555,2022-12-20 16:01:58,2022-12-20 17:00:00,14142,19697
2022-12-20 17:00:00,9719,4373,5355,2022-12-20 17:01:56,2022-12-20 18:00:00,14092,19447
2022-12-20 18:00:00,9372,4583,5355,2022-12-20 18:01:58,2022-12-20 19:00:00,13955,19310
2022-12-20 19:00:00,9361,4476,5355,2022-12-20 19:01:42,2022-12-20 20:00:00,13837,19192
2022-12-20 20:00:00,9361,4476,5355,2022-12-20 20:02:26,2022-12-20 21:00:00,13837,19192
2022-12-20 21:00:00,9248,4487,5355,2022-12-20 21:02:09,2022-12-20 22:00:00,13735,19090
2022-12-20 22:00:00,9248,4487,5355,2022-12-20 22:01:59,2022-12-20 23:00:00,13735,19090
2022-12-20 23:00:00,8491,4347,5355,2022-12-20 23:02:38,2022-12-21 00:00:00,12838,18193
2022-12-21 00:00:00,10959,4347,5355,2022-12-21 00:01:46,2022-12-21 01:00:00,15306,20661
2022-12-21 01:00:00,10530,4656,5355,2022-12-21 01:01:59,2022-12-21 02:00:00,15186,20541
2022-12-21 02:00:00,10530,4656,5355,2022-12-21 02:01:47,2022-12-21 03:00:00,15186,20541
2022-12-21 03:00:00,9700,4656,5355,2022-12-21 03:01:51,2022-12-21 04:00:00,14356,19711
2022-12-21 04:00:00,9700,4535,5355,2022-12-21 04:02:18,2022-12-21 05:00:00,14235,19590
2022-12-21 05:00:00,10149,4417,5355,2022-12-21 05:02:40,2022-12-21 06:00:00,14566,19921
2022-12-21 06:00:00,10149,4218,5355,2022-12-21 06:01:46,2022-12-21 07:00:00,14367,19722
2022-12-21 07:00:00,10148,4218,5355,2022-12-21 07:01:59,2022-12-21 08:00:00,14366,19721
2022-12-21 08:00:00,10139,4189,5355,2022-12-21 08:03:30,2022-12-21 09:00:00,14328,19683
2022-12-21 09:00:00,9919,4029,5355,2022-12-21 09:02:47,2022-12-21 10:00:00,13948,19303
2022-12-21 10:00:00,9911,3880,5355,2022-12-21 10:02:04,2022-12-21 11:00:00,13791,19146
2022-12-21 11:00:00,9987,4066,5355,2022-12-21 11:01:46,2022-12-21 12:00:00,14053,19408
2022-12-21 12:00:00,9237,4066,5355,2022-12-21 12:03:22,2022-12-21 13:00:00,13303,18658
2022-12-21 13:00:00,9422,4086,5355,2022-12-21 13:02:06,2022-12-21 14:00:00,13508,18863
2022-12-21 14:00:00,8880,4107,5355,2022-12-21 14:01:57,2022-12-21 15:00:00,12987,18342
2022-12-21 15:00:00,9515,4153,5355,2022-12-21 15:03:11,2022-12-21 16:00:00,13668,19023
2022-12-21 16:00:00,9465,4143,5351,2022-12-21 16:01:47,2022-12-21 17:00:00,13608,18959
2022-12-21 17:00:00,8532,4136,5351,2022-12-21 17:02:26,2022-12-21 18:00:00,12668,18019
2022-12-21 18:00:00,8532,4332,5209,2022-12-21 18:01:52,2022-12-21 19:00:00,12864,18073
2022-12-21 19:00:00,8365,4322,5209,2022-12-21 19:01:51,2022-12-21 20:00:00,12687,17896
2022-12-21 20:00:00,7654,4322,5209,2022-12-21 20:01:51,2022-12-21 21:00:00,11976,17185
2022-12-21 21:00:00,7421,4322,5209,2022-12-21 21:01:53,2022-12-21 22:00:00,11743,16952
2022-12-21 22:00:00,7421,4322,5209,2022-12-21 22:02:37,2022-12-21 23:00:00,11743,16952
