hour_start,resource_outage_mw,irr_outage_mw,new_equipment_mw,res_irr_outage_mw,all_envelope_mw,postedDatetime
2025-01-15 00:00:00,8786,6300,5288,15086,20374,2025-01-15 00:01:09
2025-01-15 01:00:00,8856,6300,5288,15156,20444,2025-01-15 01:01:08
2025-01-15 02:00:00,8778,6304,5288,15082,20370,2025-01-15 02:01:08
2025-01-15 03:00:00,8778,6304,5288,15082,20370,2025-01-15 03:01:29
2025-01-15 04:00:00,8828,6000,5288,14828,20116,2025-01-15 04:01:08
2025-01-15 05:00:00,8944,6000,5288,14944,20232,2025-01-15 05:01:07
2025-01-15 06:00:00,8928,5308,5288,14236,19524,2025-01-15 06:01:10
2025-01-15 07:00:00,9292,5575,5288,14867,20155,2025-01-15 07:01:07
2025-01-15 08:00:00,9457,5623,5288,15080,20368,2025-01-15 08:01:11
2025-01-15 09:00:00,9396,5853,5288,15249,20537,2025-01-15 09:01:08
2025-01-15 10:00:00,10206,5866,5288,16072,21360,2025-01-15 10:01:08
2025-01-15 11:00:00,10214,5687,5288,15901,21189,2025-01-15 11:01:07
2025-01-15 12:00:00,10299,5735,5288,16034,21322,2025-01-15 12:01:09
2025-01-15 13:00:00,10604,5648,5288,16252,21540,2025-01-15 13:01:08
2025-01-15 14:00:00,10564,5587,5143,16151,21294,2025-01-15 14:01:08
2025-01-15 15:00:00,10571,5577,5288,16148,21436,2025-01-15 15:01:08
2025-01-15 16:00:00,10240,5577,5438,15817,21255,2025-01-15 16:01:08
2025-01-15 17:00:00,9926,5516,5438,15442,20880,2025-01-15 17:01:07
2025-01-15 18:00:00,9766,5762,5438,15528,20966,2025-01-15 18:01:09
2025-01-15 19:00:00,9530,6569,5438,16099,21537,2025-01-15 19:01:10
2025-01-15 20:00:00,9502,6494,5438,15996,21434,2025-01-15 20:01:07
2025-01-15 21:00:00,8608,6471,5438,15079,20517,2025-01-15 21:01:08
2025-01-15 22:00:00,8594,6027,5438,14621,20059,2025-01-15 22:01:15
2025-01-15 23:00:00,7980,5933,5428,13913,19341,2025-01-15 23:01:08
2025-01-16 00:00:00,8598,5933,5428,14531,19959,2025-01-16 00:01:13
2025-01-16 01:00:00,7456,5900,5428,13356,18784,2025-01-16 01:01:09
2025-01-16 02:00:00,7506,5392,5428,12898,18326,2025-01-16 02:01:11
2025-01-16 03:00:00,7493,5392,5428,12885,18313,2025-01-16 03:01:07
2025-01-16 04:00:00,7701,5392,5428,13093,18521,2025-01-16 04:01:08
2025-01-16 05:00:00,7825,5392,5428,13217,18645,2025-01-16 05:01:09
2025-01-16 06:00:00,7457,5690,5428,13147,18575,2025-01-16 06:01:16
2025-01-16 07:00:00,7990,5770,5428,13760,19188,2025-01-16 07:01:07
2025-01-16 08:00:00,8149,5811,5428,13960,19388,2025-01-16 08:01:18
2025-01-16 09:00:00,8007,5868,5428,13875,19303,2025-01-16 09:01:07
2025-01-16 10:00:00,8265,5857,5428,14122,19550,2025-01-16 10:01:10
2025-01-16 11:00:00,7893,5761,5428,13654,19082,2025-01-16 11:01:09
2025-01-16 12:00:00,8352,6029,5428,14381,19809,2025-01-16 12:01:08
2025-01-16 13:00:00,7884,5746,5428,13630,19058,2025-01-16 13:01:07
2025-01-16 14:00:00,7753,5735,5428,13488,18916,2025-01-16 14:01:07
2025-01-16 15:00:00,7013,5732,5428,12745,18173,2025-01-16 15:01:10
2025-01-16 16:00:00,6203,5695,5428,11898,17326,2025-01-16 16:01:06
2025-01-16 17:00:00,5775,5417,5428,11192,16620,2025-01-16 17:01:11
2025-01-16 18:00:00,5580,4970,5428,10550,15978,2025-01-16 18:01:10
2025-01-16 19:00:00,5338,5720,5428,11058,16486,2025-01-16 19:01:06
2025-01-16 20:00:00,5258,5651,5428,10909,16337,2025-01-16 20:01:07
