datetime,TotalResourceMW,TotalIRRMW,TotalNewEquipResourceMW,post_datetime,hour_end,res_irr_outage_mw,all_outage_mw
2021-02-10 00:00:00,12317,4126,3531,2021-02-10 00:01:25,2021-02-10 01:00:00,16443,19974
2021-02-10 01:00:00,12324,4126,3331,2021-02-10 01:01:21,2021-02-10 02:00:00,16450,19781
2021-02-10 02:00:00,12455,4799,3331,2021-02-10 02:01:11,2021-02-10 03:00:00,17254,20585
2021-02-10 03:00:00,12455,4799,3331,2021-02-10 03:01:13,2021-02-10 04:00:00,17254,20585
2021-02-10 04:00:00,12455,4789,3331,2021-02-10 04:01:14,2021-02-10 05:00:00,17244,20575
2021-02-10 05:00:00,12455,4789,3331,2021-02-10 05:01:16,2021-02-10 06:00:00,17244,20575
2021-02-10 06:00:00,12598,5699,3331,2021-02-10 06:01:16,2021-02-10 07:00:00,18297,21628
2021-02-10 07:00:00,12741,5726,3331,2021-02-10 07:01:13,2021-02-10 08:00:00,18467,21798
2021-02-10 08:00:00,12741,6539,3331,2021-02-10 08:01:15,2021-02-10 09:00:00,19280,22611
2021-02-10 09:00:00,12758,9718,3331,2021-02-10 09:01:27,2021-02-10 10:00:00,22476,25807
2021-02-10 10:00:00,12558,10701,3331,2021-02-10 10:01:17,2021-02-10 11:00:00,23259,26590
2021-02-10 11:00:00,12558,11484,3331,2021-02-10 11:01:33,2021-02-10 12:00:00,24042,27373
2021-02-10 12:00:00,13012,12051,3331,2021-02-10 12:01:15,2021-02-10 13:00:00,25063,28394
2021-02-10 13:00:00,13077,12369,3331,2021-02-10 13:01:21,2021-02-10 14:00:00,25446,28777
2021-02-10 14:00:00,13247,12432,3331,2021-02-10 14:01:23,2021-02-10 15:00:00,25679,29010
2021-02-10 15:00:00,12668,12387,3331,2021-02-10 15:01:12,2021-02-10 16:00:00,25055,28386
2021-02-10 16:00:00,12090,13514,3331,2021-02-10 16:01:15,2021-02-10 17:00:00,25604,28935
2021-02-10 17:00:00,12090,13541,3331,2021-02-10 17:01:09,2021-02-10 18:00:00,25631,28962
2021-02-10 18:00:00,12642,13525,3259,2021-02-10 18:01:19,2021-02-10 19:00:00,26167,29426
2021-02-10 19:00:00,12718,13511,3331,2021-02-10 19:01:06,2021-02-10 20:00:00,26229,29560
2021-02-10 20:00:00,12718,13770,3331,2021-02-10 20:01:07,2021-02-10 21:00:00,26488,29819
2021-02-10 21:00:00,12109,14340,3331,2021-02-10 21:01:16,2021-02-10 22:00:00,26449,29780
2021-02-10 22:00:00,12109,14996,3331,2021-02-10 22:01:28,2021-02-10 23:00:00,27105,30436
2021-02-10 23:00:00,12015,14902,3214,2021-02-10 23:01:27,2021-02-11 00:00:00,26917,30131
2021-02-11 00:00:00,12109,15399,3331,2021-02-11 00:01:11,2021-02-11 01:00:00,27508,30839
2021-02-11 01:00:00,11273,15516,3331,2021-02-11 01:01:19,2021-02-11 02:00:00,26789,30120
2021-02-11 02:00:00,11329,15429,3331,2021-02-11 02:01:09,2021-02-11 03:00:00,26758,30089
2021-02-11 03:00:00,12165,15506,3331,2021-02-11 03:01:20,2021-02-11 04:00:00,27671,31002
2021-02-11 04:00:00,12265,15588,3331,2021-02-11 04:01:23,2021-02-11 05:00:00,27853,31184
2021-02-11 05:00:00,12155,16039,3331,2021-02-11 05:01:08,2021-02-11 06:00:00,28194,31525
2021-02-11 06:00:00,12286,16078,3331,2021-02-11 06:01:23,2021-02-11 07:00:00,28364,31695
2021-02-11 07:00:00,12286,16171,3331,2021-02-11 07:01:09,2021-02-11 08:00:00,28457,31788
2021-02-11 08:00:00,12207,15486,3331,2021-02-11 08:01:11,2021-02-11 09:00:00,27693,31024
2021-02-11 09:00:00,12877,16276,3331,2021-02-11 09:01:12,2021-02-11 10:00:00,29153,32484
2021-02-11 10:00:00,12917,17169,3331,2021-02-11 10:01:13,2021-02-11 11:00:00,30086,33417
2021-02-11 11:00:00,13088,17332,3331,2021-02-11 11:01:12,2021-02-11 12:00:00,30420,33751
2021-02-11 12:00:00,12920,15721,3331,2021-02-11 12:01:29,2021-02-11 13:00:00,28641,31972
2021-02-11 13:00:00,13806,17033,3331,2021-02-11 13:01:42,2021-02-11 14:00:00,30839,34170
2021-02-11 14:00:00,13756,17489,3331,2021-02-11 14:01:14,2021-02-11 15:00:00,31245,34576
2021-02-11 15:00:00,14252,17699,3331,2021-02-11 15:01:11,2021-02-11 16:00:00,31951,35282
2021-02-11 16:00:00,14028,17551,3331,2021-02-11 16:01:17,2021-02-11 17:00:00,31579,34910
2021-02-11 17:00:00,14589,17398,3331,2021-02-11 17:01:14,2021-02-11 18:00:00,31987,35318
2021-02-11 18:00:00,15213,17315,3331,2021-02-11 18:01:21,2021-02-11 19:00:00,32528,35859
2021-02-11 19:00:00,15604,17420,3331,2021-02-11 19:01:11,2021-02-11 20:00:00,33024,36355
2021-02-11 20:00:00,14726,17409,3331,2021-02-11 20:01:18,2021-02-11 21:00:00,32135,35466
2021-02-11 21:00:00,15006,17261,3331,2021-02-11 21:01:11,2021-02-11 22:00:00,32267,35598
2021-02-11 22:00:00,15642,17230,3331,2021-02-11 22:01:19,2021-02-11 23:00:00,32872,36203
2021-02-11 23:00:00,13353,16911,3331,2021-02-11 23:01:25,2021-02-12 00:00:00,30264,33595
2021-02-12 00:00:00,14482,17066,3331,2021-02-12 00:01:12,2021-02-12 01:00:00,31548,34879
2021-02-12 01:00:00,14486,17006,3331,2021-02-12 01:01:27,2021-02-12 02:00:00,31492,34823
2021-02-12 02:00:00,13982,16969,3331,2021-02-12 02:01:17,2021-02-12 03:00:00,30951,34282
2021-02-12 03:00:00,13797,16930,3331,2021-02-12 03:01:18,2021-02-12 04:00:00,30727,34058
2021-02-12 04:00:00,12870,16910,3331,2021-02-12 04:01:18,2021-02-12 05:00:00,29780,33111
2021-02-12 05:00:00,12870,16794,3331,2021-02-12 05:01:12,2021-02-12 06:00:00,29664,32995
2021-02-12 06:00:00,12928,16631,3331,2021-02-12 06:01:11,2021-02-12 07:00:00,29559,32890
2021-02-12 07:00:00,12759,16776,3331,2021-02-12 07:01:15,2021-02-12 08:00:00,29535,32866
2021-02-12 08:00:00,12599,15868,3331,2021-02-12 08:01:11,2021-02-12 09:00:00,28467,31798
2021-02-12 09:00:00,12384,16362,3331,2021-02-12 09:01:08,2021-02-12 10:00:00,28746,32077
2021-02-12 10:00:00,12607,16162,3331,2021-02-12 10:01:13,2021-02-12 11:00:00,28769,32100
2021-02-12 11:00:00,13255,16102,3331,2021-02-12 11:01:15,2021-02-12 12:00:00,29357,32688
2021-02-12 12:00:00,13440,15855,3331,2021-02-12 12:01:12,2021-02-12 13:00:00,29295,32626
