slot,prc_latest,prc_first,prc_mean
2025-01-19 00:00:00,16011.18,16011.18,16011.18
2025-01-19 00:05:00,16053.12,16053.12,16053.12
2025-01-19 00:10:00,16252.61,16252.61,16252.61
2025-01-19 00:15:00,16161.17,16161.17,16161.17
2025-01-19 00:20:00,16034.42,16034.42,16034.42
2025-01-19 00:25:00,16056.4,16056.4,16056.4
2025-01-19 00:30:00,15840.67,15840.67,15840.67
2025-01-19 00:35:00,16076.1,16076.1,16076.1
2025-01-19 00:40:00,16100.21,16100.21,16100.21
2025-01-19 00:45:00,16129.99,16129.99,16129.99
2025-01-19 00:50:00,16108.94,16108.94,16108.94
2025-01-19 00:55:00,16123.96,16123.96,16123.96
2025-01-19 01:00:00,16212.81,16212.81,16212.81
2025-01-19 01:05:00,16226.54,16226.54,16226.54
2025-01-19 01:10:00,16185.41,16185.41,16185.41
2025-01-19 01:15:00,16095.87,16095.87,16095.87
2025-01-19 01:20:00,16140.32,16140.32,16140.32
2025-01-19 01:25:00,16151.92,16151.92,16151.92
2025-01-19 01:30:00,16108.81,16108.81,16108.81
2025-01-19 01:35:00,16125.14,16125.14,16125.14
2025-01-19 01:40:00,16013.58,16013.58,16013.58
2025-01-19 01:45:00,16034.6,16034.6,16034.6
2025-01-19 01:50:00,15938.98,15938.98,15938.98
2025-01-19 01:55:00,15890.95,15890.95,15890.95
2025-01-19 02:00:00,15906.82,15906.82,15906.82
2025-01-19 02:05:00,15849.58,15849.58,15849.58
2025-01-19 02:10:00,15925.02,15925.02,15925.02
2025-01-19 02:15:00,15891.5,15891.5,15891.5
2025-01-19 02:20:00,15819.07,15819.07,15819.07
2025-01-19 02:25:00,15864.89,15864.89,15864.89
2025-01-19 02:30:00,15877.97,15877.97,15877.97
2025-01-19 02:35:00,15884.1,15884.1,15884.1
2025-01-19 02:40:00,15648.0,15648.0,15648.0
2025-01-19 02:45:00,15673.49,15673.49,15673.49
2025-01-19 02:50:00,15477.1,15477.1,15477.1
2025-01-19 02:55:00,15356.59,15356.59,15356.59
2025-01-19 03:00:00,15281.29,15281.29,15281.29
2025-01-19 03:05:00,15354.67,15354.67,15354.67
2025-01-19 03:10:00,15347.03,15347.03,15347.03
2025-01-19 03:15:00,15349.07,15349.07,15349.07
2025-01-19 03:20:00,15391.72,15391.72,15391.72
2025-01-19 03:25:00,15343.01,15343.01,15343.01
2025-01-19 03:30:00,15466.02,15466.02,15466.02
2025-01-19 03:35:00,15367.14,15367.14,15367.14
2025-01-19 03:40:00,15025.97,15025.97,15025.97
2025-01-19 03:45:00,15212.51,15212.51,15212.51
2025-01-19 03:50:00,15081.51,15081.51,15081.51
2025-01-19 03:55:00,14981.52,14981.52,14981.52
2025-01-19 04:00:00,14948.03,14948.03,14948.03
2025-01-19 04:05:00,14954.01,14954.01,14954.01
2025-01-19 04:10:00,14753.29,14753.29,14753.29
2025-01-19 04:15:00,14640.05,14640.05,14640.05
2025-01-19 04:20:00,14773.77,14773.77,14773.77
2025-01-19 04:25:00,14842.29,14842.29,14842.29
2025-01-19 04:30:00,14733.19,14733.19,14733.19
2025-01-19 04:35:00,14645.17,14645.17,14645.17
2025-01-19 04:40:00,14647.04,14647.04,14647.04
2025-01-19 04:45:00,14457.64,14457.64,14457.64
2025-01-19 04:50:00,14280.91,14280.91,14280.91
2025-01-19 04:55:00,14381.01,14381.01,14381.01
2025-01-19 05:00:00,14336.95,14336.95,14336.95
2025-01-19 05:05:00,14280.3,14280.3,14280.3
2025-01-19 05:10:00,14214.51,14214.51,14214.51
2025-01-19 05:15:00,14169.96,14169.96,14169.96
2025-01-19 05:20:00,14094.97,14094.97,14094.97
2025-01-19 05:25:00,14069.38,14069.38,14069.38
2025-01-19 05:30:00,14160.43,14160.43,14160.43
2025-01-19 05:35:00,13969.63,13969.63,13969.63
2025-01-19 05:40:00,13730.97,13730.97,13730.97
2025-01-19 05:45:00,13752.48,13752.48,13752.48
2025-01-19 05:50:00,13519.14,13519.14,13519.14
2025-01-19 05:55:00,13354.28,13354.28,13354.28
2025-01-19 06:00:00,13400.47,13400.47,13400.47
2025-01-19 06:05:00,13410.85,13410.85,13410.85
2025-01-19 06:10:00,13381.23,13381.23,13381.23
2025-01-19 06:15:00,13186.82,13186.82,13186.82
2025-01-19 06:20:00,13093.68,13093.68,13093.68
2025-01-19 06:25:00,12834.03,12834.03,12834.03
2025-01-19 06:30:00,12618.43,12618.43,12618.43
2025-01-19 06:35:00,12684.23,12684.23,12684.23
2025-01-19 06:40:00,12445.12,12445.12,12445.12
2025-01-19 06:45:00,12203.91,12203.91,12203.91
2025-01-19 06:50:00,11996.48,11996.48,11996.48
2025-01-19 06:55:00,11685.89,11685.89,11685.89
2025-01-19 07:00:00,11549.89,11549.89,11549.89
2025-01-19 07:05:00,11566.53,11566.53,11566.53
2025-01-19 07:10:00,11374.98,11374.98,11374.98
2025-01-19 07:15:00,11188.78,11188.78,11188.78
2025-01-19 07:20:00,10468.58,10468.58,10468.58
2025-01-19 07:25:00,10282.35,10282.35,10282.35
2025-01-19 07:30:00,10071.0,10071.0,10071.0
2025-01-19 07:35:00,9985.08,9985.08,9985.08
2025-01-19 07:40:00,9857.5,9857.5,9857.5
2025-01-19 07:45:00,9890.79,9890.79,9890.79
2025-01-19 07:50:00,10080.85,10080.85,10080.85
2025-01-19 07:55:00,10240.83,10240.83,10240.83
2025-01-19 08:00:00,10591.24,10591.24,10591.24
2025-01-19 08:05:00,11354.49,11354.49,11354.49
2025-01-19 08:10:00,11370.05,11370.05,11370.05
2025-01-19 08:15:00,11582.18,11582.18,11582.18
2025-01-19 08:20:00,12110.31,12110.31,12110.31
