hour_start,hour_end,res_irr_mw,all_env_mw,rule
2025-01-15 00:00:00,2025-01-15 01:00:00,15086,20374,contemporaneous
2025-01-15 01:00:00,2025-01-15 02:00:00,15156,20444,contemporaneous
2025-01-15 02:00:00,2025-01-15 03:00:00,15082,20370,contemporaneous
2025-01-15 03:00:00,2025-01-15 04:00:00,15082,20370,contemporaneous
2025-01-15 04:00:00,2025-01-15 05:00:00,14828,20116,contemporaneous
2025-01-15 05:00:00,2025-01-15 06:00:00,14944,20232,contemporaneous
2025-01-15 06:00:00,2025-01-15 07:00:00,14236,19524,contemporaneous
2025-01-15 07:00:00,2025-01-15 08:00:00,14867,20155,contemporaneous
2025-01-15 08:00:00,2025-01-15 09:00:00,15080,20368,contemporaneous
2025-01-15 09:00:00,2025-01-15 10:00:00,15249,20537,contemporaneous
2025-01-15 10:00:00,2025-01-15 11:00:00,16072,21360,contemporaneous
2025-01-15 11:00:00,2025-01-15 12:00:00,15901,21189,contemporaneous
2025-01-15 12:00:00,2025-01-15 13:00:00,16034,21322,contemporaneous
2025-01-15 13:00:00,2025-01-15 14:00:00,16252,21540,contemporaneous
2025-01-15 14:00:00,2025-01-15 15:00:00,16151,21294,contemporaneous
2025-01-15 15:00:00,2025-01-15 16:00:00,16148,21436,contemporaneous
2025-01-15 16:00:00,2025-01-15 17:00:00,15817,21255,contemporaneous
2025-01-15 17:00:00,2025-01-15 18:00:00,15442,20880,contemporaneous
2025-01-15 18:00:00,2025-01-15 19:00:00,15528,20966,contemporaneous
2025-01-15 19:00:00,2025-01-15 20:00:00,16099,21537,contemporaneous
2025-01-15 20:00:00,2025-01-15 21:00:00,15996,21434,contemporaneous
2025-01-15 21:00:00,2025-01-15 22:00:00,15079,20517,contemporaneous
2025-01-15 22:00:00,2025-01-15 23:00:00,14621,20059,contemporaneous
2025-01-15 23:00:00,2025-01-16 00:00:00,13913,19341,contemporaneous
2025-01-16 00:00:00,2025-01-16 01:00:00,14531,19959,contemporaneous
2025-01-16 01:00:00,2025-01-16 02:00:00,13356,18784,contemporaneous
2025-01-16 02:00:00,2025-01-16 03:00:00,12898,18326,contemporaneous
2025-01-16 03:00:00,2025-01-16 04:00:00,12885,18313,contemporaneous
2025-01-16 04:00:00,2025-01-16 05:00:00,13093,18521,contemporaneous
2025-01-16 05:00:00,2025-01-16 06:00:00,13217,18645,contemporaneous
2025-01-16 06:00:00,2025-01-16 07:00:00,13147,18575,contemporaneous
2025-01-16 07:00:00,2025-01-16 08:00:00,13760,19188,contemporaneous
2025-01-16 08:00:00,2025-01-16 09:00:00,13960,19388,contemporaneous
2025-01-16 09:00:00,2025-01-16 10:00:00,13875,19303,contemporaneous
2025-01-16 10:00:00,2025-01-16 11:00:00,14122,19550,contemporaneous
2025-01-16 11:00:00,2025-01-16 12:00:00,13654,19082,contemporaneous
2025-01-16 12:00:00,2025-01-16 13:00:00,14381,19809,contemporaneous
2025-01-16 13:00:00,2025-01-16 14:00:00,13630,19058,contemporaneous
2025-01-16 14:00:00,2025-01-16 15:00:00,13488,18916,contemporaneous
2025-01-16 15:00:00,2025-01-16 16:00:00,12745,18173,contemporaneous
2025-01-16 16:00:00,2025-01-16 17:00:00,11898,17326,contemporaneous
2025-01-16 17:00:00,2025-01-16 18:00:00,11192,16620,contemporaneous
2025-01-16 18:00:00,2025-01-16 19:00:00,10550,15978,contemporaneous
2025-01-16 19:00:00,2025-01-16 20:00:00,11058,16486,contemporaneous
2025-01-16 20:00:00,2025-01-16 21:00:00,10909,16337,contemporaneous
2025-01-16 21:00:00,2025-01-16 22:00:00,10830,16258,contemporaneous
2025-01-16 22:00:00,2025-01-16 23:00:00,10797,16225,contemporaneous
2025-01-16 23:00:00,2025-01-17 00:00:00,10775,16203,contemporaneous
2025-01-17 00:00:00,2025-01-17 01:00:00,11363,16791,contemporaneous
2025-01-17 01:00:00,2025-01-17 02:00:00,11127,16555,contemporaneous
2025-01-17 02:00:00,2025-01-17 03:00:00,11112,16640,contemporaneous
2025-01-17 03:00:00,2025-01-17 04:00:00,10842,16370,contemporaneous
2025-01-17 04:00:00,2025-01-17 05:00:00,11069,16597,contemporaneous
2025-01-17 05:00:00,2025-01-17 06:00:00,11398,16926,contemporaneous
2025-01-17 06:00:00,2025-01-17 07:00:00,11288,16816,contemporaneous
2025-01-17 07:00:00,2025-01-17 08:00:00,11281,16809,contemporaneous
2025-01-17 08:00:00,2025-01-17 09:00:00,11312,16740,contemporaneous
2025-01-17 09:00:00,2025-01-17 10:00:00,11184,16612,contemporaneous
2025-01-17 10:00:00,2025-01-17 11:00:00,12026,17454,contemporaneous
2025-01-17 11:00:00,2025-01-17 12:00:00,12277,17705,contemporaneous
2025-01-17 12:00:00,2025-01-17 13:00:00,12299,17727,contemporaneous
2025-01-17 13:00:00,2025-01-17 14:00:00,12371,17799,contemporaneous
2025-01-17 14:00:00,2025-01-17 15:00:00,13430,18858,contemporaneous
2025-01-17 15:00:00,2025-01-17 16:00:00,13364,18792,contemporaneous
