event,retained_gw,shock_gw,chi
Jan. 2025,0,1,0.0
Jan. 2025,0,2,0.0
Jan. 2025,0,3,0.0
Jan. 2025,0,4,0.0
Jan. 2025,0,5,0.0
Jan. 2025,0,6,0.0
Jan. 2025,0,7,0.0005538872354497356
Jan. 2025,0,8,0.005243661024305556
Jan. 2025,0,9,0.019692368827160495
Jan. 2025,0,10,0.043057706018518514
Jan. 2025,0,11,0.07396652093855217
Jan. 2025,0,12,0.11318575810185184
Jan. 2025,0,13,0.15580423210470085
Jan. 2025,0,14,0.19874227099867722
Jan. 2025,0,15,0.23864922376543204
Jan. 2025,0,16,0.27675454354745366
Jan. 2025,0,17,0.3157394713371459
Jan. 2025,0,18,0.3532005719521604
Jan. 2025,0,19,0.38724264711257306
Jan. 2025,0,20,0.4178805147569444
Jan. 2025,0,21,0.44560049024470894
Jan. 2025,0,22,0.47080046796085856
Jan. 2025,0,23,0.49380914326690817
Jan. 2025,0,24,0.5149004289641204
Jan. 2025,0,25,0.5343044118055555
Jan. 2025,3,1,0.0
Jan. 2025,3,2,0.0
Jan. 2025,3,3,0.0
Jan. 2025,3,4,0.0009693026620370373
Jan. 2025,3,5,0.008389857638888889
Jan. 2025,3,6,0.029538553240740742
Jan. 2025,3,7,0.061511008597883596
Jan. 2025,3,8,0.10170396629050925
Jan. 2025,3,9,0.15091434413580246
Jan. 2025,3,10,0.20254550173611108
Jan. 2025,3,11,0.252944708543771
Jan. 2025,3,12,0.2983115297067901
Jan. 2025,3,13,0.34062097667378916
Jan. 2025,3,14,0.38339792948082
Jan. 2025,3,15,0.42384068634259253
Jan. 2025,3,16,0.4598506434461805
Jan. 2025,3,17,0.49162413500816987
Jan. 2025,3,18,0.5198672386188271
Jan. 2025,3,19,0.5451373839546783
Jan. 2025,3,20,0.5678805147569443
Jan. 2025,3,21,0.5884576331018518
Jan. 2025,3,22,0.6071641043244949
Jan. 2025,3,23,0.6242439258756038
Jan. 2025,3,24,0.6399004289641204
Jan. 2025,3,25,0.6543044118055557
Elliott 2022,0,1,0.0
Elliott 2022,0,2,0.0
Elliott 2022,0,3,0.0
Elliott 2022,0,4,0.0
Elliott 2022,0,5,0.004347924382716049
Elliott 2022,0,6,0.033341140689300414
Elliott 2022,0,7,0.08244104387125219
Elliott 2022,0,8,0.1390341608796296
Elliott 2022,0,9,0.19879559156378598
Elliott 2022,0,10,0.2572248831018519
Elliott 2022,0,11,0.3149871412037037
Elliott 2022,0,12,0.36754732349537034
Elliott 2022,0,13,0.41367136989553654
Elliott 2022,0,14,0.4553193587411816
Elliott 2022,0,15,0.49163140149176954
Elliott 2022,0,16,0.5234044388985339
Elliott 2022,0,17,0.5514394719045025
Elliott 2022,0,18,0.5763595012431413
Elliott 2022,0,19,0.5986563695987654
Elliott 2022,0,20,0.6187235511188272
Elliott 2022,0,21,0.6368795724941211
Elliott 2022,0,22,0.6533850464716611
Elliott 2022,0,23,0.6684552618424584
Elliott 2022,0,24,0.682269625932356
Elliott 2022,0,25,0.6949788408950617
Elliott 2022,3,1,0.0
Elliott 2022,3,2,0.010869810956790123
Elliott 2022,3,3,0.06668228137860083
Elliott 2022,3,4,0.14427182677469133
Elliott 2022,3,5,0.22245465740740739
Elliott 2022,3,6,0.29819338734567896
Elliott 2022,3,7,0.36746411871693124
Elliott 2022,3,8,0.4331073191550926
Elliott 2022,3,9,0.4900630979938271
Elliott 2022,3,10,0.5377727808641974
Elliott 2022,3,11,0.5794973656705948
Elliott 2022,3,12,0.6145392518647119
Elliott 2022,3,13,0.6441900786443494
Elliott 2022,3,14,0.6696050730268959
Elliott 2022,3,15,0.6916314014917695
Elliott 2022,3,16,0.7109044388985339
Elliott 2022,3,17,0.7279100601397966
Elliott 2022,3,18,0.7430261679098079
Elliott 2022,3,19,0.7565511064408706
Elliott 2022,3,20,0.7687235511188272
Elliott 2022,3,21,0.779736715351264
Elliott 2022,3,22,0.7897486828352974
Elliott 2022,3,23,0.7988900444511541
Elliott 2022,3,24,0.807269625932356
Elliott 2022,3,25,0.8149788408950617
Uri 2021,0,1,0.0004058998842592592
Uri 2021,0,2,0.017116488715277777
Uri 2021,0,3,0.06162539544753086
Uri 2021,0,4,0.12189983072916664
Uri 2021,0,5,0.22353480671296294
Uri 2021,0,6,0.31842549045138885
Uri 2021,0,7,0.39587931382275127
Uri 2021,0,8,0.4616585554108796
Uri 2021,0,9,0.5198824016203702
Uri 2021,0,10,0.5676930578703703
Uri 2021,0,11,0.6069936889730638
Uri 2021,0,12,0.6397442148919752
Uri 2021,0,13,0.6674561983618232
Uri 2021,0,14,0.6912093270502645
Uri 2021,0,15,0.7117953719135802
Uri 2021,0,16,0.7298081611689814
Uri 2021,0,17,0.7457017987472767
Uri 2021,0,18,0.7598294765946502
Uri 2021,0,19,0.7724700304580895
Uri 2021,0,20,0.783846528935185
Uri 2021,0,21,0.7941395513668429
Uri 2021,0,22,0.8034968444865319
Uri 2021,0,23,0.8120404599436392
Uri 2021,0,24,0.8198721074459876
Uri 2021,0,25,0.827077223148148
Uri 2021,3,1,0.30272313657407407
Uri 2021,3,2,0.46639892361111107
Uri 2021,3,3,0.5752255854552468
Uri 2021,3,4,0.6465697526041666
Uri 2021,3,5,0.7016784513888888
Uri 2021,3,6,0.7490109047067901
Uri 2021,3,7,0.7845791989087302
Uri 2021,3,8,0.8115067990451389
Uri 2021,3,9,0.8324504880401234
Uri 2021,3,10,0.8492054392361111
Uri 2021,3,11,0.8629140356691919
Uri 2021,3,12,0.8743378660300926
Uri 2021,3,13,0.8840041840277778
Uri 2021,3,14,0.892289599454365
Uri 2021,3,15,0.8994702928240741
Uri 2021,3,16,0.9057533995225695
Uri 2021,3,17,0.9112973171977125
Uri 2021,3,18,0.9162252440200618
Uri 2021,3,19,0.9206344417032164
Uri 2021,3,20,0.9246027196180555
Uri 2021,3,21,0.9281930663029101
Uri 2021,3,22,0.931457017834596
Uri 2021,3,23,0.9344371474939613
Uri 2021,3,24,0.9371689330150463
Uri 2021,3,25,0.9396821756944445
