retained_gw,operational_anchor,Jan. 2025,Elliott 2022,Uri 2021
0.0,Full PRC buffer,0.239,0.492,0.712
1.375,EEA3 trigger in force at Uri (pre-Nov. 2021),0.318,0.583,0.803
1.43,EEA3 trigger in force at Elliott,0.321,0.587,0.807
1.5,EEA3 trigger since Nov. 2023,0.326,0.592,0.811
1.75,EEA2 trigger through 2023,0.342,0.608,0.827
2.0,EEA2 trigger since Nov. 2023,0.358,0.625,0.843
2.3,EEA1 trigger through 2023; pre-2019 ORDC minimum contingency level,0.377,0.645,0.861
2.5,EEA1 trigger since Nov. 2023,0.391,0.658,0.872
3.0,ERCOT low-reserve analysis boundary; central retained case,0.424,0.692,0.899
5.0,Stringent screening case,0.557,0.824,0.971
