event,shock_gw,retained_gw,ree_gwh,ree_ci95_lo_gwh,ree_ci95_hi_gwh,chi,chi_ci95_lo,chi_ci95_hi,n_days,bootstrap_reps
January 2025 main,10,0,62.0,24.0,110.9,0.043,0.017,0.077,6,2000
January 2025 main,10,3,291.7,204.7,387.8,0.203,0.142,0.269,6,2000
January 2025 main,15,0,515.5,393.7,641.3,0.239,0.182,0.297,6,2000
January 2025 main,15,3,915.5,769.8,1070.1,0.424,0.356,0.495,6,2000
Winter Storm Elliott 2022,10,0,555.6,392.9,703.2,0.257,0.182,0.326,9,2000
Winter Storm Elliott 2022,10,3,1161.6,944.6,1339.0,0.538,0.437,0.62,9,2000
Winter Storm Elliott 2022,15,0,1592.9,1374.0,1771.0,0.492,0.424,0.547,9,2000
Winter Storm Elliott 2022,15,3,2240.9,2022.0,2419.0,0.692,0.624,0.747,9,2000
Winter Storm Uri 2021,10,0,1635.0,1392.5,1872.5,0.568,0.484,0.65,12,2000
Winter Storm Uri 2021,10,3,2445.7,2238.9,2633.6,0.849,0.777,0.914,12,2000
Winter Storm Uri 2021,15,0,3075.0,2832.5,3312.5,0.712,0.656,0.767,12,2000
Winter Storm Uri 2021,15,3,3885.7,3678.9,4073.6,0.899,0.852,0.943,12,2000
